,account_check_status,duration_in_month,credit_history,purpose,credit_amount,savings,present_emp_since,installment_as_income_perc,personal_status_sex,other_debtors,present_res_since,property,age,other_installment_plans,housing,credits_this_bank,job,people_under_maintenance,telephone,foreign_worker,Account_check_0 <= ... < 200 DM,Account_check_< 0 DM,Account_check_>= 200 DM / salary assignments for at least 1 year,Account_check_no checking account,Credit_history_all credits at this bank paid back duly,Credit_history_critical account/ other credits existing (not at this bank),Credit_history_delay in paying off in the past,Credit_history_existing credits paid back duly till now,Credit_history_no credits taken/ all credits paid back duly,Purpose_(vacation - does not exist?),Purpose_business,Purpose_car (new),Purpose_car (used),Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/television,Purpose_repairs,Purpose_retraining,Savings_.. >= 1000 DM ,Savings_... < 100 DM,Savings_100 <= ... < 500 DM,Savings_500 <= ... < 1000 DM ,Savings_unknown/ no savings account,Present_emp_since_.. >= 7 years,Present_emp_since_... < 1 year ,Present_emp_since_1 <= ... < 4 years,Present_emp_since_4 <= ... < 7 years,Present_emp_since_unemployed,Personal_status_sex_female : divorced/separated/married,Personal_status_sex_male : divorced/separated,Personal_status_sex_male : married/widowed,Personal_status_sex_male : single,Other_debtors_co-applicant,Other_debtors_guarantor,Other_debtors_none,Property_if not A121 : building society savings agreement/ life insurance,"Property_if not A121/A122 : car or other, not in attribute 6",Property_real estate,Property_unknown / no property,Other_installment_plans_bank,Other_installment_plans_none,Other_installment_plans_stores,Housing_for free,Housing_own,Housing_rent,Job_management/ self-employed/ highly qualified employee/ officer,Job_skilled employee / official,Job_unemployed/ unskilled - non-resident,Job_unskilled - resident,Telephone_none,"Telephone_yes, registered under the customers name ",Foreign_worker_no,Foreign_worker_yes,Account_check_status_first2,Account_check_status_last2,Credit_history_team1,Credit_history_team2,Purpose_vacation_forniture_education,Purpose_repairs_carUsed_retraining,Present_emp_since_unemployed_less1,Property_middle,Other_installment_plans_stores_bank,Housing_free_rent,Job_unemployed_unskilled,People_under_maintenance_2,People_under_maintenance_1,Credits_this_bank_1,Credits_this_bank_2,Credits_this_bank_3,Credits_this_bank_4,Age_categories,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Duration_in_month_categories,Duration_in_month_1,Duration_in_month_2,Duration_in_month_3,Duration_in_month_4,Duration_in_month_5,Credit_amount_categories,Credit_amount_1,Credit_amount_2,Credit_amount_3,Installment_as_income_perc_1,Installment_as_income_perc_2,Installment_as_income_perc_3,Installment_as_income_perc_4,Present_res_since_1,Present_res_since_2,Present_res_since_3,Present_res_since_4
421,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (used),2028,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",30,none,own,1,skilled employee / official,1,none,yes,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,3,1,0,0,0,0,0,1,0,1,0,0
637,no checking account,60,delay in paying off in the past,domestic appliances,15653,... < 100 DM,4 <= ... < 7 years,2,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",21,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,0,1,16,0,0,1,0,1,0,0,0,0,0,1
781,no checking account,24,critical account/ other credits existing (not at this bank),car (new),1940,.. >= 1000 DM ,.. >= 7 years,4,male : single,none,4,real estate,60,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,1,0,0,2,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1
569,< 0 DM,48,existing credits paid back duly till now,domestic appliances,6758,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",31,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,4,0,0,0,1,0,7,0,1,0,0,0,1,0,0,1,0,0
639,< 0 DM,42,delay in paying off in the past,domestic appliances,4370,... < 100 DM,4 <= ... < 7 years,3,male : single,none,2,if not A121 : building society savings agreement/ life insurance,26,bank,own,2,skilled employee / official,2,"yes, registered under the customers name ",yes,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,1,0,5,0,1,0,0,0,1,0,0,1,0,0
299,0 <= ... < 200 DM,21,critical account/ other credits existing (not at this bank),radio/television,2745,.. >= 1000 DM ,4 <= ... < 7 years,3,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",32,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,2,0,1,0,0,0,3,1,0,0,0,0,1,0,0,1,0,0
651,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1922,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,if not A121 : building society savings agreement/ life insurance,37,none,own,1,unskilled - resident,1,none,yes,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0
81,no checking account,15,existing credits paid back duly till now,domestic appliances,1213,500 <= ... < 1000 DM ,.. >= 7 years,4,male : single,none,3,if not A121 : building society savings agreement/ life insurance,47,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,3,0,0,1,0,0,0,2,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0
838,< 0 DM,24,critical account/ other credits existing (not at this bank),car (used),2957,... < 100 DM,.. >= 7 years,4,male : single,none,4,if not A121 : building society savings agreement/ life insurance,63,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,5,0,0,0,0,1,0,2,0,1,0,0,0,3,1,0,0,0,0,0,1,0,0,0,1
832,< 0 DM,45,no credits taken/ all credits paid back duly,business,11816,... < 100 DM,.. >= 7 years,2,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",29,none,rent,2,skilled employee / official,1,none,yes,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,1,0,12,0,0,1,0,1,0,0,0,0,0,1
115,no checking account,48,critical account/ other credits existing (not at this bank),domestic appliances,3578,unknown/ no savings account,.. >= 7 years,4,male : single,none,1,real estate,47,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,1,0,0,0,4,0,0,0,1,0,4,1,0,0,0,0,0,1,1,0,0,0
477,>= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,domestic appliances,5152,... < 100 DM,4 <= ... < 7 years,4,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",25,bank,own,1,skilled employee / official,1,none,yes,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,6,0,1,0,0,0,0,1,0,1,0,0
370,no checking account,36,existing credits paid back duly till now,car (new),3079,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,4,real estate,36,none,own,1,skilled employee / official,1,none,yes,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,3,0,0,1,0,0,4,1,0,0,0,0,0,1,0,0,0,1
560,< 0 DM,24,existing credits paid back duly till now,car (used),2964,unknown/ no savings account,.. >= 7 years,4,male : single,none,4,unknown / no property,49,bank,for free,1,skilled employee / official,2,"yes, registered under the customers name ",yes,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,3,0,0,1,0,0,0,2,0,1,0,0,0,3,1,0,0,0,0,0,1,0,0,0,1
588,< 0 DM,18,existing credits paid back duly till now,repairs,1217,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,3,real estate,47,none,own,1,unskilled - resident,1,"yes, registered under the customers name ",yes,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,3,0,0,1,0,0,0,2,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0
926,< 0 DM,18,critical account/ other credits existing (not at this bank),radio/television,1049,... < 100 DM,... < 1 year ,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,21,none,rent,1,skilled employee / official,1,none,yes,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1
154,0 <= ... < 200 DM,24,delay in paying off in the past,business,6967,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",36,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,2,0,1,0,0,0,0,2,0,1,0,0,0,7,0,1,0,0,0,0,1,0,0,0,1
775,< 0 DM,24,existing credits paid back duly till now,car (new),1371,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,real estate,25,none,rent,1,skilled employee / official,1,none,yes,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1
923,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),2002,... < 100 DM,4 <= ... < 7 years,3,male : single,none,4,if not A121 : building society savings agreement/ life insurance,30,none,rent,1,skilled employee / official,2,"yes, registered under the customers name ",yes,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,1
348,no checking account,6,delay in paying off in the past,business,1743,100 <= ... < 500 DM,1 <= ... < 4 years,1,male : single,none,2,real estate,34,none,own,2,unskilled - resident,1,none,yes,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0
266,no checking account,36,critical account/ other credits existing (not at this bank),business,6304,unknown/ no savings account,.. >= 7 years,4,male : single,none,4,real estate,36,none,own,2,skilled employee / official,1,none,yes,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,3,0,0,1,0,0,7,0,1,0,0,0,0,1,0,0,0,1
360,0 <= ... < 200 DM,18,existing credits paid back duly till now,(vacation - does not exist?),1239,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,4,unknown / no property,61,none,for free,1,skilled employee / official,1,none,yes,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,5,0,0,0,0,1,0,2,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1
